s,m
Time,Vis_Door
0.00E+00,3.00E+01
5.53E-01,3.00E+01
1.01E+00,3.00E+01
1.57E+00,3.00E+01
2.02E+00,3.00E+01
2.51E+00,3.00E+01
3.02E+00,3.00E+01
3.50E+00,3.00E+01
4.00E+00,3.00E+01
4.51E+00,3.00E+01
5.01E+00,3.00E+01
5.51E+00,3.00E+01
6.00E+00,3.00E+01
6.51E+00,3.00E+01
7.00E+00,3.00E+01
7.50E+00,3.00E+01
8.00E+00,3.00E+01
8.51E+00,3.00E+01
9.01E+00,3.00E+01
9.51E+00,3.00E+01
1.00E+01,3.00E+01
1.05E+01,3.00E+01
1.10E+01,3.00E+01
1.15E+01,3.00E+01
1.20E+01,3.00E+01
1.25E+01,3.00E+01
1.30E+01,2.24E+01
1.35E+01,7.56E+00
1.40E+01,7.26E+00
1.45E+01,7.78E+00
1.50E+01,7.65E+00
1.55E+01,8.85E+00
1.60E+01,8.80E+00
1.65E+01,7.08E+00
1.70E+01,5.25E+00
1.75E+01,3.90E+00
1.80E+01,3.06E+00
1.85E+01,2.97E+00
1.90E+01,2.70E+00
1.95E+01,2.49E+00
2.00E+01,2.63E+00
2.05E+01,2.66E+00
2.10E+01,2.57E+00
2.15E+01,2.49E+00
2.20E+01,2.32E+00
2.25E+01,2.00E+00
2.30E+01,2.08E+00
2.35E+01,2.05E+00
2.40E+01,2.04E+00
2.45E+01,1.94E+00
2.50E+01,1.65E+00
2.55E+01,1.58E+00
2.60E+01,1.68E+00
2.65E+01,1.79E+00
2.70E+01,1.76E+00
2.75E+01,1.72E+00
2.80E+01,1.61E+00
2.85E+01,1.38E+00
2.90E+01,1.26E+00
2.95E+01,1.30E+00
3.00E+01,1.34E+00
3.05E+01,1.18E+00
3.10E+01,1.19E+00
3.15E+01,1.30E+00
3.20E+01,1.36E+00
3.25E+01,1.36E+00
3.30E+01,1.32E+00
3.35E+01,1.28E+00
3.40E+01,1.16E+00
3.45E+01,1.11E+00
3.50E+01,1.13E+00
3.55E+01,1.20E+00
3.60E+01,1.16E+00
3.65E+01,1.13E+00
3.70E+01,1.13E+00
3.75E+01,1.04E+00
3.80E+01,9.93E-01
3.85E+01,8.63E-01
3.90E+01,8.85E-01
3.95E+01,9.13E-01
4.00E+01,1.04E+00
4.05E+01,1.06E+00
4.10E+01,9.84E-01
4.15E+01,9.17E-01
4.20E+01,1.17E+00
4.25E+01,1.05E+00
4.30E+01,1.17E+00
4.35E+01,1.14E+00
4.40E+01,1.31E+00
4.45E+01,8.47E-01
4.50E+01,8.39E-01
4.55E+01,8.79E-01
4.60E+01,8.93E-01
4.65E+01,9.25E-01
4.70E+01,8.15E-01
4.75E+01,8.39E-01
4.80E+01,8.46E-01
4.85E+01,8.58E-01
4.90E+01,1.08E+00
4.95E+01,9.47E-01
5.00E+01,7.70E-01
5.05E+01,7.91E-01
5.10E+01,8.84E-01
5.15E+01,9.20E-01
5.20E+01,8.83E-01
5.25E+01,8.79E-01
5.30E+01,8.01E-01
5.35E+01,8.68E-01
5.40E+01,9.67E-01
5.45E+01,7.69E-01
5.50E+01,7.88E-01
5.55E+01,7.95E-01
5.60E+01,7.47E-01
5.65E+01,7.23E-01
5.70E+01,7.68E-01
5.75E+01,7.31E-01
5.80E+01,7.79E-01
5.85E+01,6.78E-01
5.90E+01,6.76E-01
5.95E+01,6.92E-01
6.00E+01,6.50E-01
6.05E+01,6.66E-01
6.10E+01,7.26E-01
6.15E+01,8.00E-01
6.20E+01,7.15E-01
6.25E+01,6.19E-01
6.30E+01,6.89E-01
6.35E+01,8.00E-01
6.40E+01,7.81E-01
6.45E+01,6.85E-01
6.50E+01,6.61E-01
6.55E+01,6.50E-01
6.60E+01,6.60E-01
6.65E+01,7.49E-01
6.70E+01,6.93E-01
6.75E+01,6.17E-01
6.80E+01,5.89E-01
6.85E+01,6.17E-01
6.90E+01,6.41E-01
6.95E+01,5.93E-01
7.00E+01,6.10E-01
7.05E+01,6.86E-01
7.10E+01,6.92E-01
7.15E+01,7.06E-01
7.20E+01,6.00E-01
7.25E+01,6.41E-01
7.30E+01,7.52E-01
7.35E+01,7.01E-01
7.40E+01,6.36E-01
7.45E+01,6.43E-01
7.50E+01,6.52E-01
7.55E+01,6.20E-01
7.60E+01,6.14E-01
7.65E+01,5.17E-01
7.70E+01,5.14E-01
7.75E+01,5.32E-01
7.80E+01,5.42E-01
7.85E+01,5.67E-01
7.90E+01,5.84E-01
7.95E+01,6.18E-01
8.00E+01,6.55E-01
8.05E+01,6.00E-01
8.10E+01,5.79E-01
8.15E+01,6.48E-01
8.20E+01,6.57E-01
8.25E+01,5.30E-01
8.30E+01,6.25E-01
8.35E+01,7.72E-01
8.40E+01,5.10E-01
8.45E+01,5.30E-01
8.50E+01,5.32E-01
8.55E+01,6.03E-01
8.60E+01,5.35E-01
8.65E+01,5.07E-01
8.70E+01,5.25E-01
8.75E+01,5.08E-01
8.80E+01,4.52E-01
8.85E+01,4.86E-01
8.90E+01,6.10E-01
8.95E+01,5.22E-01
9.00E+01,5.04E-01
9.05E+01,4.81E-01
9.10E+01,4.38E-01
9.15E+01,4.62E-01
9.20E+01,6.17E-01
9.25E+01,5.31E-01
9.30E+01,5.44E-01
9.35E+01,4.80E-01
9.40E+01,5.37E-01
9.45E+01,5.61E-01
9.50E+01,5.51E-01
9.55E+01,5.70E-01
9.60E+01,5.28E-01
9.65E+01,5.53E-01
9.70E+01,4.95E-01
9.75E+01,5.46E-01
9.80E+01,5.69E-01
9.85E+01,4.89E-01
9.90E+01,5.24E-01
9.95E+01,5.04E-01
1.00E+02,5.54E-01
1.01E+02,5.56E-01
1.01E+02,5.28E-01
1.02E+02,5.25E-01
1.02E+02,5.41E-01
1.03E+02,4.51E-01
1.03E+02,4.95E-01
1.04E+02,5.39E-01
1.04E+02,4.72E-01
1.05E+02,4.91E-01
1.05E+02,6.05E-01
1.06E+02,6.13E-01
1.06E+02,5.71E-01
1.07E+02,5.41E-01
1.07E+02,6.00E-01
1.08E+02,5.00E-01
1.08E+02,5.08E-01
1.09E+02,5.41E-01
1.09E+02,4.95E-01
1.10E+02,5.46E-01
1.10E+02,5.33E-01
1.11E+02,5.74E-01
1.11E+02,5.18E-01
1.12E+02,5.43E-01
1.12E+02,5.09E-01
1.13E+02,5.30E-01
1.13E+02,5.31E-01
1.14E+02,6.13E-01
1.14E+02,5.32E-01
1.15E+02,5.28E-01
1.15E+02,5.11E-01
1.16E+02,4.93E-01
1.16E+02,5.47E-01
1.17E+02,5.40E-01
1.17E+02,4.86E-01
1.18E+02,5.01E-01
1.18E+02,6.21E-01
1.19E+02,7.04E-01
1.19E+02,6.08E-01
1.20E+02,5.47E-01
1.20E+02,5.13E-01
1.21E+02,5.14E-01
1.21E+02,5.68E-01
1.22E+02,5.32E-01
1.22E+02,5.11E-01
1.23E+02,5.08E-01
1.23E+02,5.24E-01
1.24E+02,4.86E-01
1.24E+02,5.76E-01
1.25E+02,5.93E-01
1.25E+02,5.24E-01
1.26E+02,5.62E-01
1.26E+02,5.66E-01
1.27E+02,5.12E-01
1.27E+02,5.33E-01
1.28E+02,5.27E-01
1.28E+02,5.60E-01
1.29E+02,5.22E-01
1.29E+02,5.60E-01
1.30E+02,5.13E-01
1.30E+02,5.19E-01
1.31E+02,4.93E-01
1.31E+02,4.79E-01
1.32E+02,5.08E-01
1.32E+02,5.33E-01
1.33E+02,5.61E-01
1.33E+02,5.47E-01
1.34E+02,5.14E-01
1.34E+02,6.19E-01
1.35E+02,6.07E-01
1.35E+02,5.45E-01
1.36E+02,5.48E-01
1.36E+02,5.07E-01
1.37E+02,5.55E-01
1.37E+02,5.38E-01
1.38E+02,5.27E-01
1.38E+02,5.04E-01
1.39E+02,4.93E-01
1.39E+02,4.73E-01
1.40E+02,4.65E-01
1.40E+02,4.86E-01
1.41E+02,4.79E-01
1.41E+02,4.57E-01
1.42E+02,5.58E-01
1.42E+02,5.74E-01
1.43E+02,4.87E-01
1.43E+02,5.75E-01
1.44E+02,6.85E-01
1.44E+02,5.73E-01
1.45E+02,4.93E-01
1.45E+02,5.33E-01
1.46E+02,5.99E-01
1.46E+02,6.27E-01
1.47E+02,6.05E-01
1.47E+02,4.76E-01
1.48E+02,4.71E-01
1.48E+02,4.58E-01
1.49E+02,4.68E-01
1.49E+02,4.26E-01
1.50E+02,4.42E-01
1.50E+02,4.38E-01
