s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5317511E-004,-1.2832438E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5330343E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 5.5309570E-001, 2.0637134E+000, 0.0000000E+000,-5.5358222E-002, 3.4827458E-002,-1.0550389E-003,-2.0146472E-004,-2.7373437E-006, 0.0000000E+000, 8.4678366E-001, 2.0419234E+000, 0.0000000E+000, 6.8976255E-005, 0.0000000E+000,-5.9072940E-001
 1.0140088E+000, 1.0469503E+001, 0.0000000E+000,-1.5123236E+000, 1.5216036E-001,-2.6703110E-002,-5.1395332E-004, 3.1984436E-006, 0.0000000E+000, 9.5654963E+000, 9.0821255E+000, 0.0000000E+000, 1.7306769E-004, 0.0000000E+000,-5.9066883E-001
 1.5671045E+000, 1.4097300E+001, 0.0000000E+000,-6.3270787E+000, 1.3249848E-001,-5.5512486E-002,-8.6631864E-004,-1.5235856E-005, 0.0000000E+000, 7.8304415E+000, 7.8463254E+000, 0.0000000E+000, 2.8008540E-004, 0.0000000E+000,-5.9115560E-001
 2.0197828E+000, 1.4662910E+001, 0.0000000E+000,-4.4962441E+000, 1.7369945E-001,-3.6703236E-002,-1.1808191E-003,-2.6580040E-006, 0.0000000E+000, 9.2331185E+000, 1.0302479E+001, 0.0000000E+000, 3.7855783E-004, 0.0000000E+000,-5.9121757E-001
 2.5073168E+000, 1.9658691E+001, 0.0000000E+000,-4.5332892E+000, 2.5670590E-001,-4.0946687E-002,-1.4673841E-003,-3.5138256E-006, 0.0000000E+000, 1.5144970E+001, 1.5339690E+001, 0.0000000E+000, 4.7511410E-004, 0.0000000E+000,-5.9133350E-001
 3.0231879E+000, 2.3842263E+001, 0.0000000E+000,-7.0625198E+000, 2.8386207E-001,-6.5542576E-002,-1.7699283E-003, 1.7374355E-006, 0.0000000E+000, 1.6898331E+001, 1.6996295E+001, 0.0000000E+000, 5.8143153E-004, 0.0000000E+000,-5.9128298E-001
 3.5020826E+000, 2.8253391E+001, 0.0000000E+000,-7.9240268E+000, 3.4285554E-001,-1.4608824E-001,-2.0879916E-003, 1.5785578E-006, 0.0000000E+000, 2.0317576E+001, 2.0524045E+001, 0.0000000E+000, 6.8454198E-004, 0.0000000E+000,-5.9123376E-001
 4.0014677E+000, 3.2599755E+001, 0.0000000E+000,-8.4670979E+000, 4.0189001E-001,-4.8229006E-001,-2.4065562E-003,-3.6579476E-006, 0.0000000E+000, 2.3902829E+001, 2.4049846E+001, 0.0000000E+000, 7.8627914E-004, 0.0000000E+000,-5.9134404E-001
 4.5068455E+000, 3.7229140E+001, 0.0000000E+000,-9.7454040E+000, 4.5256778E-001,-7.9146614E-001,-2.7182031E-003,-4.3446197E-006, 0.0000000E+000, 2.7008375E+001, 2.7142115E+001, 0.0000000E+000, 8.9151128E-004, 0.0000000E+000,-5.9147686E-001
 5.0122232E+000, 4.1696663E+001, 0.0000000E+000,-1.1097200E+001, 2.3998317E-001,-1.0459143E+000,-3.0295428E-003,-1.2464372E-005, 0.0000000E+000, 2.9669866E+001, 2.9790490E+001, 0.0000000E+000, 9.9729304E-004, 0.0000000E+000,-5.9185790E-001
 5.5075431E+000, 4.6317963E+001, 0.0000000E+000,-1.2368604E+001,-4.0369443E-001,-1.4113375E+000,-3.3395262E-003,-1.0803511E-005, 0.0000000E+000, 3.2006886E+001, 3.2130978E+001, 0.0000000E+000, 1.1012083E-003, 0.0000000E+000,-5.9219412E-001
 6.0028629E+000, 5.0709747E+001, 0.0000000E+000,-1.3362592E+001,-1.3535555E-001,-1.9622086E+000,-3.6453083E-003,-5.1925533E-006, 0.0000000E+000, 3.5137642E+001, 3.5245940E+001, 0.0000000E+000, 1.2049139E-003, 0.0000000E+000,-5.9235374E-001
 6.5109911E+000, 5.5293028E+001, 0.0000000E+000,-1.4661658E+001,-1.0988046E+000,-2.3933467E+000,-3.9458728E-003,-5.9322754E-006, 0.0000000E+000, 3.7047554E+001, 3.7135267E+001, 0.0000000E+000, 1.3097232E-003, 0.0000000E+000,-5.9254072E-001
 7.0022168E+000, 5.9894975E+001, 0.0000000E+000,-1.5695918E+001,-2.3295986E+000,-2.7772562E+000,-4.2371206E-003,-5.2831567E-006, 0.0000000E+000, 3.8967543E+001, 3.9087959E+001, 0.0000000E+000, 1.4138701E-003, 0.0000000E+000,-5.9270256E-001
 7.5044451E+000, 6.4086612E+001, 0.0000000E+000,-1.6548853E+001,-1.3300709E+000,-3.0606956E+000,-4.5356304E-003,-2.0249435E-006, 0.0000000E+000, 4.3057024E+001, 4.3142454E+001, 0.0000000E+000, 1.5175896E-003, 0.0000000E+000,-5.9276633E-001
