,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-03T06:49:53.750-05:00, 0.922E-01,   0.09218, 0.43438E+01
       2,2026-02-03T06:49:53.845-05:00, 0.922E-01,   0.18437, 0.45000E+01
       3,2026-02-03T06:49:54.016-05:00, 0.922E-01,   0.27655, 0.48125E+01
       4,2026-02-03T06:49:54.109-05:00, 0.922E-01,   0.36873, 0.49844E+01
       5,2026-02-03T06:49:54.194-05:00, 0.922E-01,   0.46091, 0.50938E+01
       6,2026-02-03T06:49:54.327-05:00, 0.922E-01,   0.55310, 0.54844E+01
       7,2026-02-03T06:49:54.395-05:00, 0.922E-01,   0.64528, 0.55469E+01
       8,2026-02-03T06:49:54.485-05:00, 0.922E-01,   0.73746, 0.57188E+01
       9,2026-02-03T06:49:54.755-05:00, 0.922E-01,   0.82964, 0.62031E+01
      10,2026-02-03T06:49:54.864-05:00, 0.922E-01,   0.92183, 0.64375E+01
      20,2026-02-03T06:49:56.362-05:00, 0.615E-01,   1.76179, 0.93281E+01
      30,2026-02-03T06:49:57.908-05:00, 0.329E-01,   2.15622, 0.12172E+02
      40,2026-02-03T06:50:00.029-05:00, 0.285E-01,   2.45025, 0.15031E+02
      50,2026-02-03T06:50:02.188-05:00, 0.285E-01,   2.73559, 0.18172E+02
      60,2026-02-03T06:50:04.374-05:00, 0.256E-01,   2.99757, 0.21859E+02
      70,2026-02-03T06:50:06.713-05:00, 0.225E-01,   3.23488, 0.24781E+02
      80,2026-02-03T06:50:08.670-05:00, 0.225E-01,   3.45963, 0.27625E+02
      90,2026-02-03T06:50:10.930-05:00, 0.220E-01,   3.67187, 0.31203E+02
     100,2026-02-03T06:50:13.062-05:00, 0.220E-01,   3.89160, 0.34406E+02
     200,2026-02-03T06:50:34.877-05:00, 0.191E-01,   5.94571, 0.65219E+02
     300,2026-02-03T06:50:56.414-05:00, 0.164E-01,   7.63598, 0.96391E+02
     400,2026-02-03T06:51:18.022-05:00, 0.149E-01,   9.09444, 0.12698E+03
     500,2026-02-03T06:51:39.568-05:00, 0.142E-01,  10.54101, 0.15836E+03
     600,2026-02-03T06:52:00.372-05:00, 0.131E-01,  11.90789, 0.19036E+03
