s,m,C
Time,"Vis_HeadHeight","Temp_Ceiling"
 0.0000000E+000, 3.0000000E+001, 2.0000000E+001
 3.6873047E-001, 3.0000000E+001, 2.0000003E+001
 6.4527833E-001, 3.0000000E+001, 2.0000012E+001
 9.2182618E-001, 3.0000000E+001, 2.0000045E+001
 1.2777433E+000, 3.0000000E+001, 2.0000290E+001
 1.5210778E+000, 3.0000000E+001, 2.0000809E+001
 1.8122037E+000, 3.0000000E+001, 2.0001672E+001
 2.1131122E+000, 3.0000000E+001, 2.0003458E+001
 2.4140208E+000, 6.4515482E+000, 2.0005549E+001
 2.7115940E+000, 1.6468882E+000, 2.0007638E+001
 3.0054137E+000, 1.3250914E+000, 2.1081797E+001
 3.3218349E+000, 8.7993403E-001, 6.1905580E+001
 3.6177088E+000, 8.0995861E-001, 6.6965710E+001
 3.9163251E+000, 7.4412641E-001, 7.7503758E+001
 4.2055320E+000, 7.0561120E-001, 8.2052466E+001
 4.5140193E+000, 6.6795650E-001, 9.9573277E+001
 4.8032262E+000, 6.6677228E-001, 1.0108146E+002
 5.1117135E+000, 6.5477236E-001, 9.9464895E+001
 5.4009204E+000, 6.1964135E-001, 1.0896894E+002
 5.7152505E+000, 6.3466436E-001, 1.1305344E+002
 6.0113665E+000, 6.5903600E-001, 1.1687476E+002
 6.3095060E+000, 6.2486959E-001, 1.0364408E+002
 6.6068862E+000, 6.4851816E-001, 1.0944614E+002
 6.9130559E+000, 6.3790542E-001, 1.1641379E+002
 7.2031114E+000, 7.0339078E-001, 1.0386761E+002
 7.5015067E+000, 8.0666668E-001, 1.1083591E+002
 7.8090081E+000, 7.0039023E-001, 1.0769569E+002
 8.1098074E+000, 7.6026355E-001, 1.1164526E+002
 8.4110279E+000, 7.1457364E-001, 1.0582680E+002
 8.7081410E+000, 7.9795328E-001, 9.9783519E+001
 9.0061022E+000, 7.7943330E-001, 7.5185235E+001
 9.3015922E+000, 6.7736460E-001, 1.1480661E+002
 9.6131770E+000, 5.5461531E-001, 1.1233552E+002
 9.9067199E+000, 5.1372569E-001, 9.6441382E+001
 1.0204524E+001, 5.3511941E-001, 1.4238261E+002
 1.0503767E+001, 5.2770472E-001, 1.3486344E+002
