s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4756980E-005, 8.6154674E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4748365E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6873049E-001, 1.1391364E+000, 0.0000000E+000,-1.4919548E-002, 1.9600829E-002,-2.5343007E-004,-1.6660048E-004, 0.0000000E+000, 0.0000000E+000, 3.2410266E-001, 1.1433976E+000, 0.0000000E+000, 5.8060821E-005, 0.0000000E+000
 6.4527833E-001, 5.6923717E+000, 0.0000000E+000,-2.8092549E-001, 9.2160525E-002,-7.7935182E-003,-3.8603933E-004, 0.0000000E+000, 0.0000000E+000, 5.4995213E+000, 5.4954272E+000, 0.0000000E+000, 1.3547525E-004, 0.0000000E+000
 9.2182618E-001, 1.7554721E+001, 0.0000000E+000,-2.5498560E+000, 2.5444406E-001,-3.7382629E-002,-5.8024741E-004, 0.0000000E+000, 0.0000000E+000, 9.3546447E+000, 1.5221347E+001, 0.0000000E+000, 1.9837447E-004, 0.0000000E+000
 1.2777433E+000, 1.5724205E+001, 0.0000000E+000,-8.0779074E+000, 1.3109752E-001,-5.3768044E-002,-8.4545945E-004, 0.0000000E+000, 0.0000000E+000, 1.1256001E+001, 7.7227818E+000, 0.0000000E+000, 2.7474378E-004, 0.0000000E+000
 1.5210779E+000, 1.3895137E+001, 0.0000000E+000,-5.5228585E+000, 1.4378287E-001,-3.4574826E-002,-1.0793668E-003, 0.0000000E+000, 0.0000000E+000, 7.7415327E+000, 8.4804076E+000, 0.0000000E+000, 3.4618837E-004, 0.0000000E+000
 1.8122036E+000, 1.6686269E+001, 0.0000000E+000,-4.1632549E+000, 2.1363066E-001,-2.6083529E-002,-1.2569663E-003, 0.0000000E+000, 0.0000000E+000, 1.2225340E+001, 1.2709304E+001, 0.0000000E+000, 4.0771642E-004, 0.0000000E+000
 2.1131122E+000, 1.9779569E+001, 0.0000000E+000,-4.7036512E+000, 2.5514927E-001,-3.4935434E-002,-1.4539127E-003, 0.0000000E+000, 0.0000000E+000, 1.5107834E+001, 1.5294678E+001, 0.0000000E+000, 4.7900177E-004, 0.0000000E+000
 2.4140208E+000, 2.2337324E+001, 0.0000000E+000,-6.3334797E+000, 2.7043696E-001,-4.8078709E-002,-1.6626638E-003, 0.0000000E+000, 0.0000000E+000, 1.6206514E+001, 1.6224540E+001, 0.0000000E+000, 5.5157780E-004, 0.0000000E+000
