,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-02-03T01:31:26.576-05:00, 0.922E-01,   0.09218, 0.31719E+01
       2,2026-02-03T01:31:26.660-05:00, 0.922E-01,   0.18437, 0.32812E+01
       3,2026-02-03T01:31:26.797-05:00, 0.922E-01,   0.27655, 0.35625E+01
       4,2026-02-03T01:31:26.860-05:00, 0.922E-01,   0.36873, 0.36875E+01
       5,2026-02-03T01:31:26.916-05:00, 0.922E-01,   0.46091, 0.38281E+01
       6,2026-02-03T01:31:27.065-05:00, 0.922E-01,   0.55310, 0.41719E+01
       7,2026-02-03T01:31:27.123-05:00, 0.922E-01,   0.64528, 0.42500E+01
       8,2026-02-03T01:31:27.183-05:00, 0.922E-01,   0.73746, 0.43281E+01
       9,2026-02-03T01:31:27.355-05:00, 0.922E-01,   0.82964, 0.46250E+01
      10,2026-02-03T01:31:27.415-05:00, 0.922E-01,   0.92183, 0.47031E+01
      20,2026-02-03T01:31:27.978-05:00, 0.384E-01,   1.60672, 0.57969E+01
      30,2026-02-03T01:31:28.485-05:00, 0.301E-01,   1.93257, 0.67656E+01
      40,2026-02-03T01:31:28.929-05:00, 0.301E-01,   2.23348, 0.75312E+01
      50,2026-02-03T01:31:29.418-05:00, 0.270E-01,   2.52200, 0.84531E+01
      60,2026-02-03T01:31:29.954-05:00, 0.226E-01,   2.75680, 0.94375E+01
      70,2026-02-03T01:31:30.438-05:00, 0.226E-01,   2.98281, 0.10172E+02
      80,2026-02-03T01:31:31.081-05:00, 0.226E-01,   3.20883, 0.11359E+02
      90,2026-02-03T01:31:32.395-05:00, 0.226E-01,   3.43484, 0.12719E+02
     100,2026-02-03T01:31:33.584-05:00, 0.216E-01,   3.63934, 0.14234E+02
     200,2026-02-03T01:31:45.597-05:00, 0.168E-01,   5.56438, 0.31359E+02
     300,2026-02-03T01:31:57.192-05:00, 0.161E-01,   7.20311, 0.46766E+02
     400,2026-02-03T01:32:09.929-05:00, 0.151E-01,   8.66296, 0.63188E+02
     500,2026-02-03T01:32:20.378-05:00, 0.124E-01,  10.01840, 0.78250E+02
     600,2026-02-03T01:32:28.270-05:00, 0.112E-01,  11.26219, 0.91547E+02
     700,2026-02-03T01:32:40.595-05:00, 0.121E-01,  12.48768, 0.10777E+03
     800,2026-02-03T01:32:52.489-05:00, 0.125E-01,  13.71252, 0.12388E+03
     900,2026-02-03T01:33:03.376-05:00, 0.117E-01,  14.88863, 0.13988E+03
    1000,2026-02-03T01:33:15.212-05:00, 0.117E-01,  16.04418, 0.15705E+03
    1100,2026-02-03T01:33:27.475-05:00, 0.110E-01,  17.20906, 0.17516E+03
    1200,2026-02-03T01:33:40.101-05:00, 0.115E-01,  18.34177, 0.19305E+03
    1300,2026-02-03T01:33:51.812-05:00, 0.109E-01,  19.44493, 0.20922E+03
    1400,2026-02-03T01:34:03.410-05:00, 0.997E-02,  20.49989, 0.22619E+03
    1500,2026-02-03T01:34:14.737-05:00, 0.105E-01,  21.57820, 0.24241E+03
    1600,2026-02-03T01:34:27.586-05:00, 0.108E-01,  22.68748, 0.25888E+03
    1700,2026-02-03T01:34:39.193-05:00, 0.101E-01,  23.75327, 0.27495E+03
    1800,2026-02-03T01:34:50.711-05:00, 0.921E-02,  24.76408, 0.29102E+03
    1900,2026-02-03T01:35:02.447-05:00, 0.108E-01,  25.80203, 0.30792E+03
    2000,2026-02-03T01:35:13.329-05:00, 0.922E-02,  26.76493, 0.32300E+03
    2100,2026-02-03T01:35:26.249-05:00, 0.915E-02,  27.69329, 0.33872E+03
    2200,2026-02-03T01:35:40.161-05:00, 0.883E-02,  28.67234, 0.35681E+03
    2300,2026-02-03T01:35:52.918-05:00, 0.939E-02,  29.60859, 0.37469E+03
    2400,2026-02-03T01:36:04.712-05:00, 0.908E-02,  30.50866, 0.39112E+03
    2500,2026-02-03T01:36:16.459-05:00, 0.107E-01,  31.44028, 0.40667E+03
    2600,2026-02-03T01:36:27.972-05:00, 0.790E-02,  32.29871, 0.42466E+03
    2700,2026-02-03T01:36:41.432-05:00, 0.881E-02,  33.19312, 0.44334E+03
    2800,2026-02-03T01:36:53.265-05:00, 0.898E-02,  34.10659, 0.46116E+03
    2900,2026-02-03T01:37:05.987-05:00, 0.968E-02,  35.05629, 0.47845E+03
    3000,2026-02-03T01:37:17.935-05:00, 0.916E-02,  35.95720, 0.49606E+03
    3100,2026-02-03T01:37:29.946-05:00, 0.836E-02,  36.80047, 0.51342E+03
    3200,2026-02-03T01:37:42.498-05:00, 0.915E-02,  37.70792, 0.53097E+03
    3300,2026-02-03T01:37:54.877-05:00, 0.935E-02,  38.62563, 0.54872E+03
    3400,2026-02-03T01:38:06.647-05:00, 0.105E-01,  39.54672, 0.56562E+03
    3500,2026-02-03T01:38:18.530-05:00, 0.804E-02,  40.39945, 0.58238E+03
    3600,2026-02-03T01:38:31.324-05:00, 0.883E-02,  41.23424, 0.59969E+03
    3700,2026-02-03T01:38:43.490-05:00, 0.752E-02,  42.05483, 0.61677E+03
    3800,2026-02-03T01:38:56.175-05:00, 0.896E-02,  42.90405, 0.63219E+03
    3900,2026-02-03T01:39:08.826-05:00, 0.845E-02,  43.79061, 0.64816E+03
    4000,2026-02-03T01:39:21.048-05:00, 0.807E-02,  44.62873, 0.66520E+03
    4100,2026-02-03T01:39:33.853-05:00, 0.897E-02,  45.43845, 0.68284E+03
    4200,2026-02-03T01:39:46.506-05:00, 0.846E-02,  46.26429, 0.69986E+03
    4300,2026-02-03T01:39:58.189-05:00, 0.757E-02,  47.06839, 0.71620E+03
    4400,2026-02-03T01:40:10.701-05:00, 0.778E-02,  47.88176, 0.73411E+03
    4500,2026-02-03T01:40:23.755-05:00, 0.789E-02,  48.65646, 0.75097E+03
    4600,2026-02-03T01:40:35.834-05:00, 0.731E-02,  49.44740, 0.76764E+03
    4700,2026-02-03T01:40:48.062-05:00, 0.740E-02,  50.23537, 0.78395E+03
    4800,2026-02-03T01:41:00.755-05:00, 0.779E-02,  51.03947, 0.80128E+03
    4900,2026-02-03T01:41:12.628-05:00, 0.779E-02,  51.78330, 0.81761E+03
    5000,2026-02-03T01:41:23.518-05:00, 0.784E-02,  52.52950, 0.83372E+03
    5100,2026-02-03T01:41:35.404-05:00, 0.826E-02,  53.36801, 0.85136E+03
    5200,2026-02-03T01:41:47.935-05:00, 0.761E-02,  54.14837, 0.86908E+03
    5300,2026-02-03T01:42:00.382-05:00, 0.818E-02,  54.93198, 0.88616E+03
    5400,2026-02-03T01:42:12.839-05:00, 0.777E-02,  55.68673, 0.90369E+03
    5500,2026-02-03T01:42:23.733-05:00, 0.714E-02,  56.44211, 0.91939E+03
    5600,2026-02-03T01:42:36.407-05:00, 0.838E-02,  57.18884, 0.93666E+03
    5700,2026-02-03T01:42:49.903-05:00, 0.710E-02,  57.95766, 0.95438E+03
    5800,2026-02-03T01:43:02.661-05:00, 0.932E-02,  58.76453, 0.97145E+03
    5900,2026-02-03T01:43:14.933-05:00, 0.807E-02,  59.55298, 0.98830E+03
    6000,2026-02-03T01:43:27.509-05:00, 0.695E-02,  60.31503, 0.10057E+04
    6100,2026-02-03T01:43:37.570-05:00, 0.716E-02,  61.10601, 0.10206E+04
    6200,2026-02-03T01:43:46.830-05:00, 0.830E-02,  61.90657, 0.10361E+04
    6300,2026-02-03T01:43:58.994-05:00, 0.792E-02,  62.68020, 0.10539E+04
    6400,2026-02-03T01:44:10.543-05:00, 0.788E-02,  63.44101, 0.10706E+04
    6500,2026-02-03T01:44:23.097-05:00, 0.690E-02,  64.22634, 0.10874E+04
    6600,2026-02-03T01:44:35.618-05:00, 0.803E-02,  64.98278, 0.11041E+04
    6700,2026-02-03T01:44:47.387-05:00, 0.767E-02,  65.77239, 0.11212E+04
    6800,2026-02-03T01:44:59.997-05:00, 0.741E-02,  66.50907, 0.11382E+04
    6900,2026-02-03T01:45:12.618-05:00, 0.773E-02,  67.26277, 0.11550E+04
    7000,2026-02-03T01:45:23.300-05:00, 0.657E-02,  68.00517, 0.11703E+04
    7100,2026-02-03T01:45:35.218-05:00, 0.746E-02,  68.72156, 0.11852E+04
    7200,2026-02-03T01:45:47.900-05:00, 0.739E-02,  69.46026, 0.12021E+04
    7300,2026-02-03T01:45:58.377-05:00, 0.766E-02,  70.21728, 0.12184E+04
    7400,2026-02-03T01:46:08.637-05:00, 0.702E-02,  70.95707, 0.12343E+04
    7500,2026-02-03T01:46:19.793-05:00, 0.860E-02,  71.72136, 0.12501E+04
    7600,2026-02-03T01:46:30.957-05:00, 0.715E-02,  72.44211, 0.12650E+04
    7700,2026-02-03T01:46:44.305-05:00, 0.771E-02,  73.15882, 0.12833E+04
    7800,2026-02-03T01:46:56.908-05:00, 0.756E-02,  73.91465, 0.13014E+04
    7900,2026-02-03T01:47:09.405-05:00, 0.713E-02,  74.67277, 0.13181E+04
    8000,2026-02-03T01:47:21.257-05:00, 0.717E-02,  75.38660, 0.13340E+04
    8100,2026-02-03T01:47:33.785-05:00, 0.720E-02,  76.16527, 0.13498E+04
    8200,2026-02-03T01:47:46.927-05:00, 0.835E-02,  76.93285, 0.13690E+04
    8300,2026-02-03T01:47:58.909-05:00, 0.826E-02,  77.67438, 0.13857E+04
    8400,2026-02-03T01:48:11.185-05:00, 0.676E-02,  78.44519, 0.14031E+04
    8500,2026-02-03T01:48:22.763-05:00, 0.694E-02,  79.21935, 0.14184E+04
    8600,2026-02-03T01:48:34.170-05:00, 0.734E-02,  80.01347, 0.14334E+04
    8700,2026-02-03T01:48:45.593-05:00, 0.825E-02,  80.78031, 0.14492E+04
    8800,2026-02-03T01:48:57.153-05:00, 0.749E-02,  81.54825, 0.14657E+04
    8900,2026-02-03T01:49:08.331-05:00, 0.811E-02,  82.30786, 0.14810E+04
    9000,2026-02-03T01:49:20.599-05:00, 0.807E-02,  83.05744, 0.14983E+04
    9100,2026-02-03T01:49:32.261-05:00, 0.776E-02,  83.77876, 0.15153E+04
    9200,2026-02-03T01:49:43.018-05:00, 0.757E-02,  84.54011, 0.15311E+04
    9300,2026-02-03T01:49:52.709-05:00, 0.799E-02,  85.33137, 0.15463E+04
    9400,2026-02-03T01:50:05.761-05:00, 0.742E-02,  86.10145, 0.15637E+04
    9500,2026-02-03T01:50:18.301-05:00, 0.708E-02,  86.87101, 0.15806E+04
    9600,2026-02-03T01:50:30.017-05:00, 0.706E-02,  87.63604, 0.15972E+04
    9700,2026-02-03T01:50:42.665-05:00, 0.745E-02,  88.35605, 0.16138E+04
    9800,2026-02-03T01:50:54.423-05:00, 0.724E-02,  89.14868, 0.16299E+04
    9900,2026-02-03T01:51:06.068-05:00, 0.722E-02,  89.87830, 0.16463E+04
   10000,2026-02-03T01:51:18.119-05:00, 0.916E-02,  90.64750, 0.16645E+04
   10100,2026-02-03T01:51:29.842-05:00, 0.836E-02,  91.38123, 0.16802E+04
   10200,2026-02-03T01:51:38.873-05:00, 0.677E-02,  92.13406, 0.16946E+04
   10300,2026-02-03T01:51:46.508-05:00, 0.718E-02,  92.88302, 0.17085E+04
   10400,2026-02-03T01:51:54.177-05:00, 0.853E-02,  93.63477, 0.17219E+04
   10500,2026-02-03T01:52:02.237-05:00, 0.765E-02,  94.40983, 0.17359E+04
   10600,2026-02-03T01:52:10.069-05:00, 0.861E-02,  95.11889, 0.17497E+04
   10700,2026-02-03T01:52:22.292-05:00, 0.748E-02,  95.92828, 0.17657E+04
   10800,2026-02-03T01:52:34.473-05:00, 0.716E-02,  96.67197, 0.17815E+04
   10900,2026-02-03T01:52:45.106-05:00, 0.801E-02,  97.45877, 0.17980E+04
   11000,2026-02-03T01:52:57.000-05:00, 0.787E-02,  98.18445, 0.18151E+04
   11100,2026-02-03T01:53:08.887-05:00, 0.740E-02,  98.94838, 0.18318E+04
   11200,2026-02-03T01:53:21.301-05:00, 0.836E-02,  99.71297, 0.18483E+04
   11300,2026-02-03T01:53:32.157-05:00, 0.657E-02, 100.44644, 0.18637E+04
   11400,2026-02-03T01:53:42.954-05:00, 0.727E-02, 101.20969, 0.18806E+04
   11500,2026-02-03T01:53:54.129-05:00, 0.753E-02, 101.99672, 0.18970E+04
   11600,2026-02-03T01:54:05.770-05:00, 0.774E-02, 102.78872, 0.19142E+04
   11700,2026-02-03T01:54:17.879-05:00, 0.809E-02, 103.53498, 0.19307E+04
   11800,2026-02-03T01:54:28.011-05:00, 0.628E-02, 104.28264, 0.19477E+04
   11900,2026-02-03T01:54:38.407-05:00, 0.853E-02, 105.05205, 0.19652E+04
   12000,2026-02-03T01:54:49.052-05:00, 0.789E-02, 105.81937, 0.19829E+04
   12100,2026-02-03T01:55:00.207-05:00, 0.681E-02, 106.58832, 0.20015E+04
   12200,2026-02-03T01:55:11.993-05:00, 0.785E-02, 107.35257, 0.20184E+04
   12300,2026-02-03T01:55:23.512-05:00, 0.704E-02, 108.15286, 0.20356E+04
   12400,2026-02-03T01:55:36.218-05:00, 0.638E-02, 108.89374, 0.20533E+04
   12500,2026-02-03T01:55:47.728-05:00, 0.735E-02, 109.63360, 0.20692E+04
   12600,2026-02-03T02:13:26.973-05:00, 0.866E-02, 110.42024, 0.20806E+04
   12700,2026-02-03T02:13:38.392-05:00, 0.760E-02, 111.18742, 0.20964E+04
   12800,2026-02-03T02:13:51.506-05:00, 0.744E-02, 111.95041, 0.21134E+04
   12900,2026-02-03T02:14:02.346-05:00, 0.702E-02, 112.70790, 0.21294E+04
   13000,2026-02-03T02:14:14.236-05:00, 0.765E-02, 113.41856, 0.21473E+04
   13100,2026-02-03T02:14:26.491-05:00, 0.679E-02, 114.18573, 0.21652E+04
   13200,2026-02-03T02:14:38.368-05:00, 0.711E-02, 114.94077, 0.21824E+04
   13300,2026-02-03T02:14:50.602-05:00, 0.723E-02, 115.65267, 0.21994E+04
   13400,2026-02-03T02:15:02.151-05:00, 0.712E-02, 116.40540, 0.22152E+04
   13500,2026-02-03T02:15:14.947-05:00, 0.834E-02, 117.15864, 0.22316E+04
   13600,2026-02-03T02:15:27.455-05:00, 0.704E-02, 117.91464, 0.22476E+04
   13700,2026-02-03T02:15:40.383-05:00, 0.863E-02, 118.70403, 0.22649E+04
   13800,2026-02-03T02:38:27.892-05:00, 0.771E-02, 119.45281, 0.22788E+04
   13900,2026-02-03T02:38:36.355-05:00, 0.707E-02, 120.19301, 0.22925E+04
   14000,2026-02-03T02:38:45.866-05:00, 0.839E-02, 120.94423, 0.23071E+04
   14100,2026-02-03T02:38:57.371-05:00, 0.758E-02, 121.69760, 0.23225E+04
   14200,2026-02-03T02:39:07.943-05:00, 0.790E-02, 122.45223, 0.23385E+04
   14300,2026-02-03T02:39:19.858-05:00, 0.929E-02, 123.23383, 0.23556E+04
   14400,2026-02-03T02:39:32.228-05:00, 0.704E-02, 124.01816, 0.23726E+04
   14500,2026-02-03T02:39:47.677-05:00, 0.723E-02, 124.77990, 0.23923E+04
   14600,2026-02-03T02:40:00.811-05:00, 0.770E-02, 125.51221, 0.24110E+04
   14700,2026-02-03T02:40:12.778-05:00, 0.815E-02, 126.25283, 0.24283E+04
   14800,2026-02-03T02:40:25.608-05:00, 0.759E-02, 126.97127, 0.24456E+04
   14900,2026-02-03T02:40:37.765-05:00, 0.816E-02, 127.75418, 0.24633E+04
   15000,2026-02-03T02:40:50.003-05:00, 0.663E-02, 128.53053, 0.24809E+04
   15100,2026-02-03T02:41:01.731-05:00, 0.700E-02, 129.29398, 0.24986E+04
   15200,2026-02-03T02:41:12.797-05:00, 0.792E-02, 130.04782, 0.25149E+04
   15300,2026-02-03T02:41:25.471-05:00, 0.878E-02, 130.82500, 0.25312E+04
   15400,2026-02-03T02:41:37.690-05:00, 0.788E-02, 131.60939, 0.25465E+04
   15500,2026-02-03T02:41:49.577-05:00, 0.784E-02, 132.37832, 0.25629E+04
   15600,2026-02-03T02:42:03.796-05:00, 0.769E-02, 133.15118, 0.25802E+04
   15700,2026-02-03T02:42:17.226-05:00, 0.808E-02, 133.91682, 0.25977E+04
   15800,2026-02-03T02:42:30.488-05:00, 0.740E-02, 134.68720, 0.26144E+04
   15900,2026-02-03T02:42:43.864-05:00, 0.635E-02, 135.44882, 0.26316E+04
   16000,2026-02-03T02:42:59.363-05:00, 0.806E-02, 136.18961, 0.26479E+04
   16100,2026-02-03T02:43:15.743-05:00, 0.713E-02, 136.97447, 0.26660E+04
   16200,2026-02-03T02:43:29.778-05:00, 0.828E-02, 137.74691, 0.26840E+04
   16300,2026-02-03T02:43:42.258-05:00, 0.754E-02, 138.52757, 0.27015E+04
   16400,2026-02-03T02:43:55.348-05:00, 0.719E-02, 139.30186, 0.27184E+04
   16500,2026-02-03T02:44:08.547-05:00, 0.693E-02, 140.07227, 0.27355E+04
   16600,2026-02-03T02:44:21.808-05:00, 0.731E-02, 140.80612, 0.27530E+04
   16700,2026-02-03T02:44:34.946-05:00, 0.766E-02, 141.55631, 0.27702E+04
   16800,2026-02-03T02:44:45.881-05:00, 0.731E-02, 142.31984, 0.27865E+04
   16900,2026-02-03T02:44:59.949-05:00, 0.684E-02, 143.07582, 0.28052E+04
   17000,2026-02-03T02:45:12.523-05:00, 0.849E-02, 143.84470, 0.28228E+04
   17100,2026-02-03T02:45:26.486-05:00, 0.754E-02, 144.61440, 0.28405E+04
   17200,2026-02-03T02:45:40.460-05:00, 0.632E-02, 145.36309, 0.28588E+04
   17300,2026-02-03T02:45:53.829-05:00, 0.811E-02, 146.14975, 0.28768E+04
   17400,2026-02-03T02:46:06.982-05:00, 0.772E-02, 146.90515, 0.28928E+04
   17500,2026-02-03T02:46:20.440-05:00, 0.689E-02, 147.63822, 0.29098E+04
   17600,2026-02-03T02:46:33.949-05:00, 0.746E-02, 148.37547, 0.29272E+04
   17700,2026-02-03T02:46:47.357-05:00, 0.748E-02, 149.12214, 0.29444E+04
   17800,2026-02-03T02:47:01.725-05:00, 0.704E-02, 149.88109, 0.29618E+04
   17900,2026-02-03T02:47:15.409-05:00, 0.762E-02, 150.67733, 0.29788E+04
   18000,2026-02-03T02:47:29.271-05:00, 0.807E-02, 151.45015, 0.29954E+04
   18100,2026-02-03T02:47:42.690-05:00, 0.702E-02, 152.20441, 0.30137E+04
   18200,2026-02-03T02:47:56.052-05:00, 0.799E-02, 152.99660, 0.30316E+04
   18300,2026-02-03T02:48:09.919-05:00, 0.757E-02, 153.73950, 0.30499E+04
   18400,2026-02-03T02:48:23.009-05:00, 0.755E-02, 154.50808, 0.30672E+04
   18500,2026-02-03T02:48:34.289-05:00, 0.682E-02, 155.29045, 0.30832E+04
   18600,2026-02-03T02:48:48.382-05:00, 0.684E-02, 156.01392, 0.30999E+04
   18700,2026-02-03T02:49:01.356-05:00, 0.784E-02, 156.77572, 0.31170E+04
   18800,2026-02-03T02:49:12.988-05:00, 0.783E-02, 157.51917, 0.31342E+04
   18900,2026-02-03T02:49:26.223-05:00, 0.808E-02, 158.23953, 0.31518E+04
   19000,2026-02-03T02:49:37.631-05:00, 0.707E-02, 158.98844, 0.31687E+04
   19100,2026-02-03T02:49:50.574-05:00, 0.783E-02, 159.72648, 0.31863E+04
   19200,2026-02-03T02:50:03.221-05:00, 0.839E-02, 160.51744, 0.32030E+04
   19300,2026-02-03T02:50:16.200-05:00, 0.839E-02, 161.27705, 0.32212E+04
   19400,2026-02-03T02:50:30.481-05:00, 0.689E-02, 162.04705, 0.32395E+04
   19500,2026-02-03T02:50:44.571-05:00, 0.689E-02, 162.78855, 0.32581E+04
   19600,2026-02-03T02:50:58.277-05:00, 0.721E-02, 163.53100, 0.32760E+04
   19700,2026-02-03T02:51:12.000-05:00, 0.719E-02, 164.30052, 0.32945E+04
   19800,2026-02-03T02:51:26.491-05:00, 0.707E-02, 165.03644, 0.33133E+04
   19900,2026-02-03T02:51:41.124-05:00, 0.784E-02, 165.82010, 0.33315E+04
   20000,2026-02-03T02:51:53.594-05:00, 0.918E-02, 166.60744, 0.33488E+04
   20100,2026-02-03T02:52:08.421-05:00, 0.703E-02, 167.38311, 0.33681E+04
   20200,2026-02-03T02:52:22.488-05:00, 0.818E-02, 168.17257, 0.33880E+04
   20300,2026-02-03T02:52:36.228-05:00, 0.786E-02, 168.96408, 0.34076E+04
   20400,2026-02-03T02:52:50.398-05:00, 0.811E-02, 169.73882, 0.34268E+04
   20500,2026-02-03T02:53:04.153-05:00, 0.767E-02, 170.48380, 0.34456E+04
   20600,2026-02-03T02:53:15.525-05:00, 0.739E-02, 171.26963, 0.34647E+04
   20700,2026-02-03T02:53:27.154-05:00, 0.821E-02, 172.01715, 0.34821E+04
   20800,2026-02-03T02:53:38.923-05:00, 0.646E-02, 172.75510, 0.34991E+04
   20900,2026-02-03T02:53:52.631-05:00, 0.763E-02, 173.51379, 0.35184E+04
   21000,2026-02-03T02:54:05.959-05:00, 0.654E-02, 174.27225, 0.35364E+04
   21100,2026-02-03T02:54:18.293-05:00, 0.765E-02, 175.01971, 0.35545E+04
   21200,2026-02-03T02:54:31.636-05:00, 0.688E-02, 175.76989, 0.35739E+04
   21300,2026-02-03T02:54:45.542-05:00, 0.763E-02, 176.50125, 0.35923E+04
