Part Name,Assigned Material
E-SP1-6A0|Cut-Extrude1,FR-4 (PCB)
G-MT1-6A0|Mirror1,Stainless Steel
M-CH2-6B0_Base|Fillet4,Stainless Steel
E-SN1-6A0|Boss-Extrude2,Stainless Steel
G-PS1-6A0|Mirror1,Aluminum Alloy
Assem1|E-BA0-6A0|E-BN1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BA2-6A0|Fillet3,Stainless Steel
Assem1|E-BA0-6A0|E-BA2-6A0-Mirrored|<E-BA2-6A0>-<Fillet3>,Stainless Steel
Assem1|E-BA0-6A0|E-PS1-6A0|Cut-Extrude1,FR-4 (PCB)
Assem1|E-BA0-6A0|E-PS1-6A0|Cut-Extrude1,FR-4 (PCB)
Assem1|E-BA0-6A0|E-BN1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BA1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BN1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BA1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BN1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BA1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-BA1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-PS1-6A0|Cut-Extrude1,FR-4 (PCB)
Assem1|PCB_stack_sub_assembly|E-FS1-6A0|Boss-Extrude1,Stainless Steel
Assem1|PCB_stack_sub_assembly|E-FS1-6A0|Boss-Extrude1,Stainless Steel
Assem1|PCB_stack_sub_assembly|E-FS1-6A0|Boss-Extrude1,Stainless Steel
Assem1|PCB_stack_sub_assembly|E-FS1-6A0|Boss-Extrude1,Stainless Steel
Assem1|E-BA0-6A0|E-PS1-6A0|Cut-Extrude1,FR-4 (PCB)
